topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth,border_breadth_avg
topo6_rnp_it1,45,71,3.1555555555555554,1,2.430871408048796,2.426689979104559,-0.13755541098688295,0.16783216783216784,0.22307618307618307,0.3157894736842105,1.6150126480508646,5.1472562216368285,0.18253078621872382,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_rac_it3,45,71,3.1555555555555554,1,2.4671671164002884,2.527050810834982,-0.16947291361639813,0.13448275862068965,0.16586006586006585,0.29411764705882354,1.5509328666436542,5.0751884532697575,0.2401049807924239,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_rac_it2,45,71,3.1555555555555554,1,2.4399959522330317,2.467690821007635,-0.16412898127887188,0.13588850174216027,0.1688230288230288,0.3333333333333333,1.555823129515891,5.066206427743272,0.22435134771833556,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_rac_it5,45,71,3.1555555555555554,1,2.5987651388522166,2.5302608866735365,-0.21121976196720485,0.12786885245901639,0.18201058201058198,0.3684210526315789,1.592647465681702,5.1251192386172075,0.28074577997916483,"{'3': 0.4117647058823529, '1': 0.5454545454545454, '2': 0.5294117647058824}",0.49554367201426025
topo6_rac_it4,45,71,3.1555555555555554,1,2.546942005670116,2.513485608847682,-0.19627665451331344,0.13043478260869565,0.18047286047286046,0.36363636363636365,1.5735000752155246,5.116183910792879,0.2667817457866223,"{'3': 0.35294117647058826, '1': 0.5454545454545454, '2': 0.47058823529411764}",0.4563279857397505
topo6_rnp_it5,45,71,3.1555555555555554,1,2.430871408048796,2.426689979104559,-0.13755541098688295,0.16783216783216784,0.22307618307618307,0.25,1.6150126480508535,5.147256221636816,0.18253078621872082,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_rnp_it4,45,71,3.1555555555555554,1,2.430871408048796,2.426689979104559,-0.13755541098688295,0.16783216783216784,0.22307618307618307,0.22727272727272727,1.6150126480508677,5.147256221636828,0.18253078621872218,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_rnp_it3,45,71,3.1555555555555554,1,2.430871408048796,2.426689979104559,-0.13755541098688295,0.16783216783216784,0.22307618307618307,0.22727272727272727,1.6150126480508513,5.147256221636809,0.18253078621872254,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_rac_it1,45,71,3.1555555555555554,1,2.449086501403743,2.4606003861837484,-0.13742583295298966,0.15625,0.17016613016613014,0.2727272727272727,1.6057524371049077,5.151709733258016,0.20529450305202154,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
topo6_it0,45,71,3.1555555555555554,1,2.4308714080487954,2.426689979104559,-0.13755541098688295,0.16783216783216784,0.22307618307618313,0.22727272727272727,1.6150126480508469,5.147256221636816,0.18253078621872065,"{'3': 0.29411764705882354, '1': 0.5454545454545454, '2': 0.4117647058823529}",0.4171122994652407
