topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth
topo4_rnp_it3,32,50,3.125,1,1.0825317547305484,2.0227178514411284,-0.14529914529914648,0.312,0.4041666666666666,0.3076923076923077,0.3920994047048447,3.6198388361191958,0.1379448242732112,"{'3': 0.3333333333333333, '4': 0.5714285714285714, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
topo4_rac_it1,32,50,3.125,1,1.2930100540985752,2.2854221338080105,-0.14010085507564135,0.2932330827067669,0.37321428571428567,0.23076923076923078,0.48191707697969477,3.7612370408603275,0.14528603647824248,"{'3': 0.5, '4': 0.42857142857142855, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
topo4_rnp_it4,32,50,3.125,1,1.0825317547305484,2.0227178514411284,-0.14529914529914648,0.312,0.4041666666666666,0.3076923076923077,0.3920994047048465,3.619838836119197,0.13794482427321098,"{'3': 0.3333333333333333, '4': 0.5714285714285714, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
topo4_it0,32,50,3.125,1,1.2930100540985752,2.250807235905091,-0.07685332124234924,0.3383458646616541,0.40029761904761907,0.23076923076923078,0.30409504713070934,3.7829096897297854,0.1320264690156743,"{'3': 0.3333333333333333, '4': 0.42857142857142855, '1': 0.375, '5': 0.42857142857142855, '2': 0.75}"
topo4_rnp_it5,32,50,3.125,1,1.0825317547305484,2.0227178514411284,-0.14529914529914648,0.312,0.4041666666666666,0.3076923076923077,0.3920994047048514,3.619838836119195,0.1379448242732115,"{'3': 0.3333333333333333, '4': 0.5714285714285714, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
topo4_rac_it4,32,50,3.125,1,1.340475661845451,2.3183269522460908,-0.20398009950248958,0.2222222222222222,0.27901785714285715,0.375,0.4037539901319991,3.7002510451797512,0.3425937217926466,"{'3': 0.8333333333333334, '4': 0.7142857142857143, '1': 0.5, '5': 0.7142857142857143, '2': 0.75}"
topo4_rac_it5,32,50,3.125,1,1.3635890143294642,2.38669834670499,-0.19908641035401708,0.17647058823529413,0.24464285714285713,0.42857142857142855,0.48046084594240757,3.718971842702323,0.359057138167471,"{'3': 1.0, '4': 0.7142857142857143, '1': 0.5, '5': 0.8571428571428571, '2': 0.75}"
topo4_rac_it2,32,50,3.125,1,1.340475661845451,2.3457594697016404,-0.12077294685990385,0.26666666666666666,0.3284226190476191,0.2727272727272727,0.39454245939010946,3.764203200218519,0.20018940998740584,"{'3': 0.6666666666666666, '4': 0.5714285714285714, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
topo4_rnp_it1,32,50,3.125,1,1.1110243021644486,2.1067789744377787,-0.1308281141266543,0.3333333333333333,0.3885416666666666,0.3076923076923077,0.27559566814908365,3.663581318049827,0.13531215466274912,"{'3': 0.3333333333333333, '4': 0.5714285714285714, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
topo4_rac_it3,32,50,3.125,1,1.340475661845451,2.3183269522460908,-0.14427860696517478,0.24444444444444444,0.2805059523809524,0.4166666666666667,0.4002692104182839,3.733365011962268,0.2537401859455556,"{'3': 0.6666666666666666, '4': 0.7142857142857143, '1': 0.375, '5': 0.7142857142857143, '2': 0.75}"
topo5_rnp_it3,31,55,3.5483870967741935,1,2.060984883221069,2.5139143590402764,-0.0357560465259396,0.2766990291262136,0.4340245775729646,0.5333333333333333,1.5745578660587949,4.839769072470559,0.3816742351613477,"{'3': 1.0, '4': 1.0, '1': 1.5, '6': 1.25, '5': 1.0, '2': 0.6666666666666666}"
topo5_rac_it1,31,55,3.5483870967741935,1,2.07657766960401,2.528378262772749,-0.06127858948276888,0.2608695652173913,0.38525345622119817,0.6666666666666666,1.5497775026607297,4.829133925512668,0.4138234850489081,"{'3': 0.8333333333333334, '4': 1.0, '1': 1.5, '6': 1.5, '5': 0.8333333333333334, '2': 0.8333333333333334}"
topo5_rnp_it2,31,55,3.5483870967741935,1,2.060984883221069,2.5139143590402764,-0.0357560465259396,0.2766990291262136,0.4340245775729646,0.5333333333333333,1.574557866058786,4.839769072470545,0.38167423516134913,"{'3': 1.0, '4': 1.0, '1': 1.5, '6': 1.25, '5': 1.0, '2': 0.6666666666666666}"
topo5_rnp_it5,31,55,3.5483870967741935,1,1.8637234613747469,2.329736747925867,-0.033880674641503516,0.26288659793814434,0.42903225806451606,0.5714285714285714,1.3474222101062074,4.617643644811891,0.38110668775093787,"{'3': 0.8333333333333334, '4': 1.0, '1': 1.25, '6': 1.25, '5': 1.0, '2': 0.6666666666666666}"
topo5_it0,31,55,3.5483870967741935,1,2.0765776696040104,2.528378262772749,-0.06127858948276884,0.2898550724637681,0.46205837173579106,0.5833333333333334,1.576610810396792,4.836401190583614,0.38239223069727574,"{'3': 0.8333333333333334, '4': 1.0, '1': 1.5, '6': 1.25, '5': 0.8333333333333334, '2': 0.6666666666666666}"
topo5_rnp_it4,31,55,3.5483870967741935,1,1.8637234613747469,2.329736747925867,-0.033880674641503516,0.26288659793814434,0.42903225806451606,0.5714285714285714,1.3474222101062132,4.617643644811895,0.3811066877509367,"{'3': 0.8333333333333334, '4': 1.0, '1': 1.25, '6': 1.25, '5': 1.0, '2': 0.6666666666666666}"
topo5_rac_it5,30,55,3.6666666666666665,1,1.920648038785058,2.6980685120588386,-0.012508850601840782,0.2524752475247525,0.3440476190476191,0.5,1.5295514959816003,4.793042364162663,0.3101841868129662,"{'3': 1.2, '4': 1.2, '1': 1.5, '6': 2.25, '5': 1.0, '2': 0.8333333333333334}"
topo5_rac_it4,29,55,3.793103448275862,1,2.006529175996711,2.748972048274808,-0.058810206854899946,0.24056603773584906,0.3539408866995074,0.7142857142857143,1.6519817360934086,4.9056240789980015,0.5602367541609539,"{'3': 1.2, '4': 1.2, '1': 1.5, '6': 2.25, '5': 1.2, '2': 0.8333333333333334}"
topo5_rnp_it1,31,55,3.5483870967741935,1,2.060984883221069,2.5139143590402764,-0.0357560465259396,0.2766990291262136,0.4340245775729646,0.5333333333333333,1.5745578660587927,4.839769072470551,0.38167423516134913,"{'3': 1.0, '4': 1.0, '1': 1.5, '6': 1.25, '5': 1.0, '2': 0.6666666666666666}"
topo5_rac_it3,30,55,3.6666666666666665,1,2.0548046676563256,2.7348486136508465,-0.08848362039851418,0.24285714285714285,0.345,0.6428571428571429,1.6119312385889182,4.859892908345907,0.5573800808639029,"{'3': 1.0, '4': 1.0, '1': 1.5, '6': 2.0, '5': 1.2, '2': 0.8333333333333334}"
topo5_rac_it2,31,55,3.5483870967741935,1,2.122668887272529,2.695615264225472,-0.09147286821705403,0.24285714285714285,0.3529185867895545,0.6428571428571429,1.5879196306062258,4.849093507073045,0.4815542350865437,"{'3': 0.8333333333333334, '4': 1.0, '1': 1.5, '6': 1.75, '5': 1.0, '2': 0.8333333333333334}"
topo2_rnp_it3,24,57,4.75,1,2.25924028528766,2.8443609377704333,-0.019507498986623035,0.3490909090909091,0.42731481481481487,1.0,2.4007784974093647,5.948350241209303,0.6353298883669232,"{'3': 1.25, '1': 1.5, '2': 1.3}"
topo2_rac_it1,24,57,4.75,1,2.665364265286579,2.8494839817876882,0.009755731492251904,0.4013377926421405,0.48020382395382394,1.0,3.1038652312021138,6.410651638435274,0.7411053784445699,"{'3': 1.375, '1': 1.5, '2': 1.4}"
topo2_rnp_it2,24,57,4.75,1,2.419538523492996,2.8087462305923774,0.03407625713759352,0.3908450704225352,0.45059523809523805,1.0,2.6376577718857805,6.165460833469861,0.5373174089001123,"{'3': 1.25, '1': 1.5, '2': 1.3}"
topo2_it0,24,57,4.75,1,2.6496855159307744,3.069773835029478,0.019428830120345804,0.4228187919463087,0.49640752765752766,1.0,2.981078524189797,6.408139707598234,0.5391210102903461,"{'3': 1.375, '1': 1.5, '2': 1.4}"
topo2_rnp_it5,24,57,4.75,1,2.25924028528766,2.8443609377704333,-0.019507498986623035,0.3490909090909091,0.42731481481481487,1.0,2.4007784974093602,5.948350241209301,0.6353298883669237,"{'3': 1.25, '1': 1.5, '2': 1.3}"
topo2_rnp_it4,24,57,4.75,1,2.25924028528766,2.8443609377704333,-0.019507498986623035,0.3490909090909091,0.42731481481481487,1.0,2.400778497409359,5.948350241209299,0.6353298883669246,"{'3': 1.25, '1': 1.5, '2': 1.3}"
topo2_rac_it5,24,57,4.75,1,2.331844763272204,2.9754128972590443,0.001079247610237908,0.3118279569892473,0.27761243386243384,1.1428571428571428,2.9994409147509034,6.071413619253193,0.6823792450878746,"{'3': 1.75, '1': 1.6666666666666667, '2': 1.6}"
topo2_rac_it4,24,57,4.75,1,2.2958295523259853,2.867492461184755,0.022514165371308684,0.3140794223826715,0.27483465608465607,1.0909090909090908,2.9151636352666968,6.051372801633789,0.945705821543314,"{'3': 1.625, '1': 1.6666666666666667, '2': 1.5}"
topo2_rnp_it1,24,57,4.75,1,2.6496855159307744,3.069773835029478,0.019428830120345804,0.4228187919463087,0.49640752765752766,1.0,2.9810785241897917,6.408139707598229,0.5391210102903461,"{'3': 1.375, '1': 1.5, '2': 1.4}"
topo2_rac_it3,24,57,4.75,1,2.436698586202241,2.907268229617389,-0.030075187969924526,0.3368421052631579,0.41626984126984135,1.0,2.8302253649812914,6.098335929558577,0.8641868701603623,"{'3': 1.5, '1': 1.6666666666666667, '2': 1.4}"
topo2_rac_it2,24,57,4.75,1,2.6496855159307744,2.907268229617389,-0.033893254869828256,0.3825503355704698,0.4759379509379509,1.0,3.0671388249415634,6.348108745085943,0.8051865343455668,"{'3': 1.5, '1': 1.6666666666666667, '2': 1.4}"
